match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition.competition_id,competition.country_name,competition.competition_name,season.season_id,season.season_name,home_team.home_team_id,home_team.home_team_name,home_team.home_team_gender,home_team.home_team_group,home_team.country.id,home_team.country.name,home_team.managers,away_team.away_team_id,away_team.away_team_name,away_team.away_team_gender,away_team.away_team_group,away_team.country.id,away_team.country.name,away_team.managers,metadata.data_version,metadata.shot_fidelity_version,metadata.xy_fidelity_version,competition_stage.id,competition_stage.name,stadium.id,stadium.name,stadium.country.id,stadium.country.name,referee.id,referee.name,referee.country.id,referee.country.name
3920396,2024-01-18,22:00:00.000,2,2,available,unscheduled,2024-02-01T04:43:28.953459,,2,1267,Africa,African Cup of Nations,107,2023,774,Egypt,male,,66,Egypt,"[{'id': 261, 'name': 'Rui Carlos Pinho da Vitória', 'nickname': 'Rui Vitória', 'dob': '1970-04-16', 'country': {'id': 183, 'name': 'Portugal'}}]",4885,Ghana,male,,86,Ghana,"[{'id': 395, 'name': 'Chris Hughton', 'nickname': None, 'dob': '1958-12-11', 'country': {'id': 109, 'name': 'Ireland'}}]",1.1.0,2,2,10,Group Stage,117916.0,Stade Félix Houphouët-Boigny      ,55.0,Côte d'Ivoire,1003708.0,Pierre Ghislain Atcho,82.0,Gabon
3920386,2024-01-14,16:00:00.000,1,1,available,unscheduled,2024-01-24T20:57:14.452452,,1,1267,Africa,African Cup of Nations,107,2023,775,Nigeria,male,,166,Nigeria,"[{'id': 523, 'name': 'José Vítor dos Santos Peseiro', 'nickname': 'José Peseiro', 'dob': '1960-04-04', 'country': {'id': 183, 'name': 'Portugal'}}]",4992,Equatorial Guinea,male,,69,Equatorial Guinea,"[{'id': 1000467, 'name': 'Juan Micha Obiang Bicogo', 'nickname': 'Juan Micha', 'dob': '1975-07-28', 'country': {'id': 69, 'name': 'Equatorial Guinea'}}]",1.1.0,2,2,10,Group Stage,117860.0,Stade Olympique Alassane Ouattara,55.0,Côte d'Ivoire,2323.0,Abongile Tom,211.0,South Africa
3920385,2024-01-14,19:00:00.000,2,2,available,unscheduled,2024-01-23T02:42:47.249039,,1,1267,Africa,African Cup of Nations,107,2023,774,Egypt,male,,66,Egypt,"[{'id': 261, 'name': 'Rui Carlos Pinho da Vitória', 'nickname': 'Rui Vitória', 'dob': '1970-04-16', 'country': {'id': 183, 'name': 'Portugal'}}]",4978,Mozambique,male,,155,Mozambique,"[{'id': 1001646, 'name': 'Francisco Queriol Conde Júnior', 'nickname': 'Chiquinho Conde', 'dob': '1965-11-22', 'country': {'id': 155, 'name': 'Mozambique'}}]",1.1.0,2,2,10,Group Stage,117916.0,Stade Félix Houphouët-Boigny      ,55.0,Côte d'Ivoire,1003587.0,Dahane Beida,144.0,Mauritania
3920387,2024-01-14,22:00:00.000,1,2,available,unscheduled,2024-01-24T04:21:45.217991,,1,1267,Africa,African Cup of Nations,107,2023,4885,Ghana,male,,86,Ghana,"[{'id': 395, 'name': 'Chris Hughton', 'nickname': None, 'dob': '1958-12-11', 'country': {'id': 109, 'name': 'Ireland'}}]",4924,Cape Verde Islands,male,,41,Cape Verde,"[{'id': 1000417, 'name': 'Pedro Leitão Brito', 'nickname': 'Bubista', 'dob': '1970-01-06', 'country': {'id': 41, 'name': 'Cape Verde'}}]",1.1.0,2,2,10,Group Stage,117916.0,Stade Félix Houphouët-Boigny      ,55.0,Côte d'Ivoire,2591.0,Jean Jacques Ndala Ngambo,52.0,"Congo, (Kinshasa)"
3920419,2024-01-24,22:00:00.000,0,1,available,unscheduled,2024-02-13T18:33:57.197620,,3,1267,Africa,African Cup of Nations,107,2023,4963,Zambia,male,,253,Zambia,"[{'id': 4969, 'name': 'Avraham Grant', 'nickname': None, 'dob': '1955-02-06', 'country': {'id': 111, 'name': 'Israel'}}]",788,Morocco,male,,154,Morocco,"[{'id': 1000518, 'name': 'Walid Regragui', 'nickname': None, 'dob': '1975-09-23', 'country': {'id': 154, 'name': 'Morocco'}}]",1.1.0,2,2,10,Group Stage,1001497.0,Stade Laurent Pokou,55.0,Côte d'Ivoire,1006318.0,Patrice Tanguy Mebiame,82.0,Gabon
3920418,2024-01-24,22:00:00.000,0,0,available,unscheduled,2024-02-10T03:50:22.516830,,3,1267,Africa,African Cup of Nations,107,2023,4953,Tanzania,male,,225,"Tanzania, United Republic of","[{'id': 1004249, 'name': 'Hemed Suleiman Ali', 'nickname': 'Hemed Ali', 'dob': '1970-08-04', 'country': {'id': 225, 'name': 'Tanzania, United Republic of'}}]",4881,Congo DR,male,,52,"Congo, (Kinshasa)","[{'id': 5011, 'name': 'Sébastien Desabre', 'nickname': None, 'dob': '1976-08-02', 'country': {'id': 78, 'name': 'France'}}]",1.1.0,2,2,10,Group Stage,1001609.0,Stade Amadou Gon Coulibaly,55.0,Côte d'Ivoire,2387.0,Amin Mohamed Omar,66.0,Egypt
3920417,2024-01-24,19:00:00.000,0,0,available,unscheduled,2024-02-04T23:58:48.675183,,3,1267,Africa,African Cup of Nations,107,2023,4980,Namibia,male,,157,Namibia,"[{'id': 1002931, 'name': 'Collin Benjamin', 'nickname': None, 'dob': '1978-08-03', 'country': {'id': 157, 'name': 'Namibia'}}]",4930,Mali,male,,140,Mali,"[{'id': 1000157, 'name': 'Éric Chelle', 'nickname': None, 'dob': '1977-11-11', 'country': {'id': 140, 'name': 'Mali'}}]",1.1.0,2,2,10,Group Stage,1001497.0,Stade Laurent Pokou,55.0,Côte d'Ivoire,1003479.0,Samuel Uwikunda,189.0,Rwanda
3920416,2024-01-24,19:00:00.000,0,0,available,unscheduled,2024-02-10T01:37:52.053491,,3,1267,Africa,African Cup of Nations,107,2023,4976,South Africa,male,,211,South Africa,"[{'id': 1801, 'name': 'Hugo Henri Broos', 'nickname': None, 'dob': '1952-04-10', 'country': {'id': 22, 'name': 'Belgium'}}]",777,Tunisia,male,,232,Tunisia,"[{'id': 1001303, 'name': 'Jalel Kadri', 'nickname': None, 'dob': None, 'country': {'id': 232, 'name': 'Tunisia'}}]",1.1.0,2,2,10,Group Stage,1001609.0,Stade Amadou Gon Coulibaly,55.0,Côte d'Ivoire,1003564.0,Issa Sy,202.0,Senegal
3920415,2024-01-23,22:00:00.000,1,0,available,unscheduled,2024-02-09T23:26:09.999232,,3,1267,Africa,African Cup of Nations,107,2023,4932,Mauritania,male,,144,Mauritania,"[{'id': 1000971, 'name': 'Amir Abdou', 'nickname': None, 'dob': '1972-07-08', 'country': {'id': 50, 'name': 'Comoros'}}]",4898,Algeria,male,,4,Algeria,"[{'id': 1000440, 'name': 'Djamel Belmadi', 'nickname': None, 'dob': '1976-03-25', 'country': {'id': 4, 'name': 'Algeria'}}]",1.1.0,2,2,10,Group Stage,1001316.0,Stade de Bouaké,55.0,Côte d'Ivoire,1003731.0,Omar Abdulkadir Artan,210.0,Somalia
3920414,2024-01-23,22:00:00.000,2,0,available,unscheduled,2024-02-11T20:18:49.215191,,3,1267,Africa,African Cup of Nations,107,2023,4901,Angola,male,,7,Angola,"[{'id': 1000419, 'name': 'Pedro Valdemar Soares Gonçalves', 'nickname': 'Pedro Gonçalves', 'dob': '1976-02-07', 'country': {'id': 183, 'name': 'Portugal'}}]",4921,Burkina Faso,male,,36,Burkina Faso,"[{'id': 1000428, 'name': 'Hubert Velud', 'nickname': None, 'dob': '1959-06-08', 'country': {'id': 78, 'name': 'France'}}]",1.1.0,2,2,10,Group Stage,1000822.0,Stade Charles Konan Banny de Yamoussoukro,55.0,Côte d'Ivoire,2591.0,Jean Jacques Ndala Ngambo,52.0,"Congo, (Kinshasa)"
